symbol,name,price,exchange,exchangeShortName,type
"PSMR","Pacer Swan SOS Moderate (April) ETF","26.07","BATS","ETF","etf",
"SARG.L","LEVERAGE SHARES PUBLIC LIMITED ","175.3175","London Stock Exchange","LSE","etf",
"PHG.PA","Lyxor Index Fund - Lyxor STOXX Europe 600 Personal & Household Goods UCITS ETF","145.32","Paris","EURONEXT","etf",
"CAPE.PA","Ossiam Shiller Barclays Cape Europe Sector Value TR","517.4","Paris","EURONEXT","etf",
"STSL.L","Leverage Shares -1x Tesla ETC","63.7285","London Stock Exchange","LSE","etf",
"FBAL.NE","Fidelity All-in-One Balanced ETF","11.99","Cboe CA","NEO","etf",
"PEXL","Pacer US Export Leaders ETF","48.85","New York Stock Exchange Arca","AMEX","etf",
"GENT","Spinnaker ETF Series","10.09","New York Stock Exchange Arca","AMEX","etf",
"PABZ.PA","Amundi Index Solutions - Amundi Euro iStoxx Climate Paris Aligned Pab","74.87","Paris","EURONEXT","etf",
"WLDU.L","Lyxor MSCI World UCITS ETF Monthly Hedged to USD Dist","239.225","London Stock Exchange","LSE","etf",
"PHGP.L","WisdomTree Physical Gold","16872","London Stock Exchange","LSE","etf",
"HEMB.TO","Horizons Active Emerging Markets Bond ETF","8.12","Toronto Stock Exchange","TSX","etf",
"DFUV","Dimensional US Marketwide Value ETF","39.44","New York Stock Exchange Arca","AMEX","etf",
"ESGE.PA","Lyxor MSCI Europe ESG Leaders (DR) UCITS ETF - Acc","34.809","Paris","EURONEXT","etf",
"PRMN","Northern Lights Fund Trust III - PlanRock Market Neutral Income ETF","29.5889","New York Stock Exchange Arca","AMEX","etf",
"NEED","Direxion Daily Cnsmr Staples Bull 3XShrs","32.194","New York Stock Exchange Arca","AMEX","etf",
"XEC.TO","iShares Core MSCI Emerging Markets IMI Index ETF","28.11","Toronto Stock Exchange","TSX","etf",
"BSMR","Invesco BulletShares (R) 2027 Municipal Bond ETF","23.45","NASDAQ Global Market","NASDAQ","etf",
"2812.HK","Samsung CSI China Dragon Internet ETF","10.24","HKSE","HKSE","etf",
"CWE.PA","Amundi Index Solutions - Amundi MSCI World Energy","376.4","Paris","EURONEXT","etf",
"XHYF","BondBloxx US High Yield Financial & REIT Sector ETF","36.765","New York Stock Exchange Arca","AMEX","etf",
"GCLM.L","Amundi MSCI World Climate Transition CTB","434.65","London Stock Exchange","LSE","etf",
"CBUG.AS","iShares VII PLC - iShares VII PLC - iShares $ Treasury Bond 3-7yr UCITS ETF","4.5041","Amsterdam","EURONEXT","etf",
"ITDF","iShares Trust","29.86","New York Stock Exchange Arca","AMEX","etf",
"XMI.TO","iShares MSCI Min Vol EAFE Index ETF","37.59","Toronto Stock Exchange","TSX","etf",
"BFEB","Innovator S&P 500 Buffer ETF - February","40.1899","BATS","ETF","etf",
