Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-11-01 00:00:00-04:00,568.0,589.0,547.75,567.0,3647862,0.0,0.0
2021-12-01 00:00:00-05:00,568.0,617.75,567.0,593.25,1569449,0.0,0.0
2022-01-01 00:00:00-05:00,599.0,642.5,584.75,626.0,3455998,0.0,0.0
2022-02-01 00:00:00-05:00,626.0,718.75,610.25,697.5,3560196,0.0,0.0
2022-03-01 00:00:00-05:00,699.75,800.0,699.75,748.75,1531221,0.0,0.0
2022-04-01 00:00:00-04:00,748.5,827.0,730.25,818.25,2398102,0.0,0.0
2022-06-01 00:00:00-04:00,753.75,800.0,720.5,743.75,3065989,0.0,0.0
2022-07-01 00:00:00-04:00,748.0,800.0,561.5,616.25,1072226,0.0,0.0
2022-08-01 00:00:00-04:00,619.75,684.25,583.0,673.75,1963935,0.0,0.0
2022-09-01 00:00:00-04:00,671.0,725.0,655.0,677.5,1801770,0.0,0.0
2022-10-01 00:00:00-04:00,680.0,706.5,671.5,691.5,2812909,0.0,0.0
2022-11-01 00:00:00-04:00,689.0,698.5,651.25,662.0,3161670,0.0,0.0
2022-12-01 00:00:00-05:00,661.75,685.0,623.0,678.5,1185196,0.0,0.0
2023-02-01 00:00:00-05:00,679.25,688.25,629.25,629.5,2794595,0.0,0.0
2023-03-01 00:00:00-05:00,630.0,664.5,618.25,660.5,2171060,0.0,0.0
2023-04-01 00:00:00-04:00,659.5,682.5,621.75,636.0,2254159,0.0,0.0
2023-05-01 00:00:00-04:00,632.5,658.5,547.0,594.0,2219922,0.0,0.0
2023-06-01 00:00:00-04:00,594.0,672.5,552.0,554.5,3164635,0.0,0.0
2023-07-01 00:00:00-04:00,558.5,614.75,495.25,504.0,1399725,0.0,0.0
2023-08-01 00:00:00-04:00,504.0,512.25,459.0,461.0,2195220,0.0,0.0
2023-09-01 00:00:00-04:00,461.0,490.0,455.75,476.75,1549029,0.0,0.0
2023-11-01 00:00:00-04:00,478.75,481.25,447.0,461.75,3803013,0.0,0.0
2023-12-01 00:00:00-05:00,460.25,484.0,455.0,471.25,1233524,0.0,0.0
2024-01-01 00:00:00-05:00,470.5,470.75,436.5,448.25,3686446,0.0,0.0
2024-02-01 00:00:00-05:00,448.0,448.75,394.5,415.75,3605723,0.0,0.0
2024-03-01 00:00:00-05:00,415.5,448.0,409.25,442.0,1766769,0.0,0.0
2024-04-01 00:00:00-04:00,441.75,444.5,424.5,439.5,3816070,0.0,0.0
2024-05-01 00:00:00-04:00,440.0,473.25,437.25,446.25,2498977,0.0,0.0
2024-06-01 00:00:00-04:00,445.75,460.5,438.25,450.75,2394638,0.0,0.0
